,brand,model,model_year,milage,fuel_type,price
1046,Buick,LaCrosse Base,2017,67500,Gasoline,20000
1048,Mercedes-Benz,E-Class E 300,2017,36900,Gasoline,28500
1050,Kia,Telluride EX,2022,35938,Gasoline,43329
1052,Audi,S8 4.0T quattro,2023,4457,Gasoline,107900
1053,Nissan,Armada Platinum,2018,108206,Gasoline,26498
1054,Land,Rover Discovery HSE,2020,32705,Diesel,46598
1055,Kia,Telluride S,2020,74026,Gasoline,32913
1056,Lexus,GS 350 F,2020,24651,Gasoline,45950
1059,Chevrolet,Silverado 3500 High,2015,77500,Diesel,54000
1060,Maserati,Quattroporte Sport GT,2007,82000,Gasoline,7999
1061,Dodge,Viper GTC,2017,1389,Gasoline,489995
1062,Ford,Expedition Limited,2021,29830,Gasoline,55329
1064,Kia,Optima LX,2019,62660,Gasoline,16500
1065,Land,Rover Range Rover,2018,56006,Gasoline,59000
1067,Lincoln,Town Car Base,2004,27600,Gasoline,14900
1068,Honda,Civic Si,2012,47245,Gasoline,19600
1072,Audi,RS 3 2.5T,2023,1900,Gasoline,78900
1073,Hyundai,Genesis Coupe 3.8,2014,52060,Gasoline,15000
1074,Porsche,Boxster RS 60,2008,58000,Gasoline,41500
1075,Ford,F-250 XLT,2010,52246,Diesel,26095
1076,Kia,Sorento EX,2016,64290,Gasoline,16999
1077,Nissan,370Z Touring,2009,37500,Gasoline,21500
1078,Genesis,G70 2.0T,2023,2121,Gasoline,40750
1079,Land,Rover Range Rover,2013,57000,Gasoline,26000
1080,Mercedes-Benz,S-Class S 560,2020,22000,Gasoline,69500
1081,Ford,Bronco Wildtrak Advanced,2023,2000,Gasoline,66500
1086,Audi,RS 5 4.2,2013,75965,Gasoline,35999
1087,Jeep,Grand Cherokee L,2022,31804,Gasoline,48995
1089,Chrysler,Crossfire Limited,2005,116320,Gasoline,6000
1090,Audi,S5 4.2 Premium,2011,156875,Gasoline,9900
1092,Cadillac,CT4 Luxury,2020,35200,Gasoline,28500
1093,Maserati,Ghibli S Q4,2014,76000,Gasoline,19000
1094,Jaguar,F-PACE 25t Premium,2019,29000,Gasoline,34500
1095,BMW,750 i xDrive,2019,33499,Gasoline,44495
1096,Acura,TLX V6 Advance,2019,25779,Gasoline,30999
1097,GMC,Terrain SLT-1,2015,76296,Gasoline,9500
1099,Nissan,Versa 1.8 S,2011,109902,Gasoline,4500
1100,Mercedes-Benz,C-Class C 300,2019,23083,Gasoline,33500
1101,Toyota,Matrix XRS,2003,143600,Gasoline,4199
1102,RAM,1500 Limited,2021,22000,Gasoline,54800
1104,Audi,A5 2.0T Premium,2018,53000,Gasoline,28000
1105,Lincoln,Navigator Reserve,2019,44741,Gasoline,52999
1106,Audi,A6 3.2 quattro,2008,202000,Gasoline,5700
1107,Chevrolet,Silverado 1500 LT,2006,215000,Gasoline,6995
1108,Mercedes-Benz,S-Class S 560,2019,77138,Gasoline,49998
1109,Volvo,XC90 T6 Momentum,2018,90641,Gasoline,25999
1110,Toyota,Camry SE,2011,177702,Gasoline,7700
1111,Mercedes-Benz,Metris Base,2018,58350,Gasoline,29497
1112,Chevrolet,Camaro 2LT,2010,86170,Gasoline,17000
1113,Mazda,MX-5 Miata Grand,2012,36568,Gasoline,20199
1114,Ford,Escape SE,2015,54357,Gasoline,16250
1115,Mercedes-Benz,S-Class S 63,2015,20394,Gasoline,59598
1117,Porsche,Boxster Base,2010,64800,Gasoline,20900
1118,Toyota,4Runner Trail,2016,117780,Gasoline,27750
1120,Land,Rover Range Rover,2016,86202,Gasoline,18750
1122,Mercedes-Benz,SL-Class SL500 Roadster,2004,35400,Gasoline,24900
1123,Jeep,Compass Trailhawk,2018,31000,Gasoline,22000
1124,Mercedes-Benz,S-Class S 560,2018,103069,Gasoline,40998
1125,Mercedes-Benz,G-Class G 550,2021,22480,Gasoline,135800
1127,Lexus,IS-F Base,2010,41500,Gasoline,44800
1128,BMW,335 i,2010,91545,Gasoline,13000
1130,Buick,Lucerne CXL,2006,110000,Gasoline,5000
1131,Lincoln,MKX Reserve,2016,88000,Gasoline,18500
1132,Nissan,Armada Platinum,2018,42833,Gasoline,37000
1133,Porsche,911 Carrera,2020,23278,Gasoline,114998
1135,BMW,435 Gran Coupe,2015,60100,Gasoline,24995
1136,Jeep,Wagoneer Series III,2022,17381,Gasoline,69685
1137,Cadillac,ATS 2.5L,2013,63172,Gasoline,12995
1138,Ford,Transit Connect XLT,2010,72000,Gasoline,10900
1140,Audi,S5 3.0T Premium,2014,67900,Gasoline,25990
1141,Toyota,Tundra SR,2018,51000,Gasoline,38000
1142,Jeep,Wrangler Unlimited Freedom,2013,54500,Gasoline,35000
1143,Maserati,Quattroporte Base,2006,61840,Gasoline,16500
1144,Mercedes-Benz,CLS-Class CLS500,2006,28950,Gasoline,16750
1145,GMC,Sierra 3500 SLE,2002,300000,Diesel,5000
1146,Nissan,Frontier SL,2011,103400,Gasoline,17000
1147,BMW,M5 Base,2023,816,Gasoline,109900
1148,Porsche,911 R,2016,719,Gasoline,489000
1151,BMW,M8 Competition,2022,5018,Gasoline,114998
1152,Porsche,911 Carrera S,2010,13850,Gasoline,71400
1153,Volvo,XC70 3.2,2008,46700,Gasoline,11400
1154,Chrysler,300 Touring,2021,21478,Gasoline,27798
1156,Porsche,Cayman S,2006,31075,Gasoline,36250
1158,BMW,M5 Competition,2020,35400,Gasoline,71950
1159,Audi,S4 4.2 quattro,2004,74030,Gasoline,16000
1160,Ford,F-250 Platinum,2021,48549,Diesel,69998
1161,Kia,Seltos S,2023,5182,Gasoline,32500
1162,RAM,ProMaster 2500 High,2019,31681,Gasoline,33500
1163,BMW,M760 M760i xDrive,2020,23430,Gasoline,80998
1164,Mercedes-Benz,E-Class E 400,2015,30300,Gasoline,29000
1165,Cadillac,XTS Luxury,2016,112000,Gasoline,14599
1166,INFINITI,Q50 Premium,2014,127356,Gasoline,19990
1167,Volkswagen,Touareg V6 Executive,2017,50600,Gasoline,28890
1169,Toyota,Tundra SR5,2021,33455,Gasoline,44750
1170,BMW,X1 sDrive28i,2022,43000,Gasoline,35750
1171,Mercedes-Benz,GL-Class GL 550,2016,46102,Gasoline,35300
1172,Cadillac,XTS Luxury,2019,59000,Gasoline,21000
1173,Jaguar,XJ8 Base,2004,134000,Gasoline,9500
1174,Chevrolet,Camaro ZL1,2020,3715,Gasoline,150000
1175,Mercedes-Benz,Sprinter 2500,2012,100245,Diesel,24000
1176,Mercedes-Benz,C-Class C 300,2022,8583,Gasoline,42999
1177,Dodge,Dakota SLT,2003,141800,Gasoline,5700
1178,Audi,A5 2.0T Premium,2012,77000,Gasoline,13800
1179,Audi,A5 2.0T Premium,2018,67035,Gasoline,31500
1180,Audi,S5 3.0 Premium,2012,61450,Gasoline,19500
1181,Porsche,Panamera GTS,2015,39500,Gasoline,52590
1182,Mercedes-Benz,AMG GT C,2020,6600,Gasoline,128900
